episode_index,building,collector_id,language_instruction,language_instruction_2,language_instruction_3,is_episode_successful,task_index
62593,640 Palo Alto Ave,52ca9b6a,Open the left closed cabinet door,Open the cupboard's left door,Open the top left cupboard,true,34228
62597,394 Franklin,52ca9b6a,"","","",false,0
62598,soft objects,52ca9b6a,"","","",true,0
62599,TRI,52ca9b6a,Remove two blocks from the food pack and put them on the table.,Shift the block from the foam pack to the table,Pick up the object from the bowl and put it on the table,true,34224
62601,TRI,52ca9b6a,Put the coffee cups on the silver holder.,Put the cups on the metal holder,Put both coffee cups onto the cup holder,true,34230
62603,TRI,52ca9b6a,"","","",false,0
62607,403 Fairmont,52ca9b6a,"Pick up the white striped tea towel and wipe around the bottom right burner, put the tea towel on the middle white surface of the stove",Pick up the towel and wipe the stove top,Use the towel to wipe the stove,true,34228
62609,416 W Dana St,52ca9b6a,Pick up the bottle of oil and place it on the left side of the bottom shelf of the cabinet,Pick up the bottle of oil and place it on the left side of the bottom shelf of the cabinet,Put a bottle in the cupboard,true,34232
62610,2300 Jane Ln,52ca9b6a,Put the white sunglasses in the red basket,Put the sunglasses in the basket,Pick up the white sun glasses and put them in the red basket,true,34233
62610,416 W Dana St,52ca9b6a,Remove one bottle from the top shelf,Remove the white container with a bulls head from the top shelf and put it on the stove,Pick up the container with a white label from the topmost shelf and put it on the white tray.,true,34229
62614,416 W Dana St,52ca9b6a,Put the tape on the counter.,Put the tape on the counter,Remove the white tape from the second shelf of the cabinet on the right and put it on the counter.,true,34235
62615,TRI,52ca9b6a,Put the right coffee pod in the cup,Put the coffee pod from the counter in the stacked coffee cups on the right.,Put the capsule in the cup,true,34231
62616,403 Fairmont,52ca9b6a,Slightly shift the orange object to the right,Turn the yellow object to the left,Move the yellow object to the right,true,34236
62616,TRI,52ca9b6a,"","","",false,0
62619,403 Fairmont,52ca9b6a,Use the napkin to push the grains on the table slightly to the left,Use the white napkin to push the white objects on the table backwards.,use the napkin to wipe the surface,true,34238
62620,403 Fairmont,52ca9b6a,"Open the orange fabric softener box lid fully, pick one white paper from the orange fabric softener box and put it on the washing machine",Open the orange box and take a paper out,"Open the orange box, remove one paper and put it on the washing machine on the left",true,34239
62623,403 Fairmont,52ca9b6a,Move the black pan to the right then put the lid on top,Move the black pan to the right.,Move the pan all the way to the right and put the glass lid onto it,true,34235
62624,403 Fairmont,52ca9b6a,Put the black mug on the microwave.,Put the black cup on the microwave,Put the black cup on top of the microwave,true,34241
62626,403 Fairmont,52ca9b6a,Remove the cooking stick from the lunchbox and put it on the silver bowl,Put the wooden spoon on top of the silver bowl,Put the wooden spoon on top of the silver bowl.,true,34237
62630,TRI,52ca9b6a,Pick up the spoon and scoop some of the contents from the bowl,Scoop some of the contents in the pack using a spoon,Put a spoonful of the contents of the pack on the serviette,true,34239
62631,416 W Dana St,52ca9b6a,Unfold the green and white towel and spread it out on the countertop.,Unfold the green towel and lay it out on the countertop.,Unfold the towel on the table,true,34240
62632,394 Franklin,52ca9b6a,Use the white towel to wipe the microwave and then put it on the table,"Wipe the top of the oven with the white kitchen paper, put the white kitchen paper on the kitchen counter",Use the white paper to wipe the oven and then put it on the table,true,34243
62637,403 Fairmont,52ca9b6a,Move the bottle from the dishrack to the window sill,Remove the plastic bottle from the drying rack and then put it on the window sill,Remove the water bottle from the drying rack and put it on the window seal,true,34244
62638,394 Franklin,52ca9b6a,"","","",false,0
62639,soft objects,52ca9b6a,"","","",true,0
62640,TRI,52ca9b6a,Remove two blocks from the food pack and put them on the table.,Shift the block from the foam pack to the table,Pick up the object from the bowl and put it on the table,true,34246
62642,416 W Dana St,52ca9b6a,"","","",true,0
62645,394 Franklin,52ca9b6a,Pour the liquid from the blue cup into the sink,Pour out the water in the cup,Pour the water in the cup in the sink,true,34247
62648,403 Fairmont,52ca9b6a,"Pick up the white striped tea towel and wipe around the bottom right burner, put the tea towel on the middle white surface of the stove",Pick up the towel and wipe the stove top,Use the towel to wipe the stove,true,34250
62651,416 W Dana St,52ca9b6a,Remove one bottle from the top shelf,Remove the white container with a bulls head from the top shelf and put it on the stove,Pick up the container with a white label from the topmost shelf and put it on the white tray.,true,34251
62654,TRI,52ca9b6a,Bring the foam pack closer to the paper towel roll,Move the takeaway pack to the left,Move the takeaway pack to the left,true,34252
62655,780 Shary Ave,52ca9b6a,Remove the black bag from the drawer,Remove the black object from the open drawer and put in on the third shelf from the left,Remove the black object out of the drawer,true,34253
62656,TRI,52ca9b6a,Put the right coffee pod in the cup,Put the coffee pod from the counter in the stacked coffee cups on the right.,Put the capsule in the cup,true,34253
62657,TRI,52ca9b6a,"","","",false,0
62662,soft objects,52ca9b6a,"","","",true,0
62664,403 Fairmont,52ca9b6a,Move the black pan to the right then put the lid on top,Move the black pan to the right.,Move the pan all the way to the right and put the glass lid onto it,true,34257
62666,2300 Jane Ln,52ca9b6a,Remove the glasses from the silver cup and put them in the black purse,Remove the glasses from the silver cup and put them in the black purse,Pick up the white sun glasses from the silver cup and put them in the black glasses case,true,34260
62667,403 Fairmont,52ca9b6a,Remove the cooking stick from the lunchbox and put it on the silver bowl,Put the wooden spoon on top of the silver bowl,Put the wooden spoon on top of the silver bowl.,true,34259
62668,TRI,52ca9b6a,Put the silver spoon in the white bowl.,Put the spoon in the bowl to the left,Move the spoon to the bowl,true,34262
62670,640 Palo Alto Ave,52ca9b6a,"","","",true,0
62671,TRI,52ca9b6a,Pick up the spoon and scoop some of the contents from the bowl,Scoop some of the contents in the pack using a spoon,Put a spoonful of the contents of the pack on the serviette,true,34261
62672,416 W Dana St,52ca9b6a,Unfold the green and white towel and spread it out on the countertop.,Unfold the green towel and lay it out on the countertop.,Unfold the towel on the table,true,34262
62678,403 Fairmont,52ca9b6a,Move the bottle from the dishrack to the window sill,Remove the plastic bottle from the drying rack and then put it on the window sill,Remove the water bottle from the drying rack and put it on the window seal,true,34266
62683,416 W Dana St,52ca9b6a,"","","",true,0
62685,TRI,52ca9b6a,Turn the stand,Move the stand,Turn the stand to the right,true,34268
62686,416 W Dana St,52ca9b6a,Put the towel on the right side of the bed.,Move the towel to the right side of the bed.,Fold the towel,true,34269
62686,394 Franklin,52ca9b6a,Pour the liquid from the blue cup into the sink,Pour out the water in the cup,Pour the water in the cup in the sink,true,34269
62691,403 Fairmont,52ca9b6a,Pick up the laying spice bottle on the counter and put it right side up on the counter,Put the jar on the right side of the counter upright.,Put the spice bottle on its bottom,true,34271
62692,403 Fairmont,52ca9b6a,press a button on the keyboard,Press the button on the keyboard,press a button on the keyboard,true,6153
62695,TRI,52ca9b6a,Bring the foam pack closer to the paper towel roll,Move the takeaway pack to the left,Move the takeaway pack to the left,true,34274
62696,416 W Dana St,52ca9b6a,Close the tap,close the tap,Close the tap by pushing the right faucet handle to the right,true,1295
62696,780 Shary Ave,52ca9b6a,Remove the black bag from the drawer,Remove the black object from the open drawer and put in on the third shelf from the left,Remove the black object out of the drawer,true,34275
62701,394 Franklin,52ca9b6a,Pick up the lint roller and put it on the top white rack,Put the lint roller on the wire rack,Put the hair brush on the white stand upper shelf,true,27409
62702,soft objects,52ca9b6a,"","","",false,0
62703,403 Fairmont,52ca9b6a,Move the pink bowl closer to the brush,Move the bowl to the left,Move the bowl to the left.,true,34275
62703,soft objects,52ca9b6a,"","","",true,0
62707,2300 Jane Ln,52ca9b6a,Remove the glasses from the silver cup and put them in the black purse,Remove the glasses from the silver cup and put them in the black purse,Pick up the white sun glasses from the silver cup and put them in the black glasses case,true,34282
62709,TRI,52ca9b6a,Put the silver spoon in the white bowl.,Put the spoon in the bowl to the left,Move the spoon to the bowl,true,34284
62711,640 Palo Alto Ave,52ca9b6a,"","","",true,0
62713,TRI,52ca9b6a,Pick up the wooden box and pour the cereal in the box into the blue bowl.,Pour the contents in the box into the bowl,Pour the cereal in the wooden box into the blue bowl.,true,34281
62717,2479 Richard Ct,52ca9b6a,Pick up the blue kettle and place it in the middle of the job of the stove,Move the blue kettle to the left,Move the kettle to the left,true,34283
62718,TRI,52ca9b6a,"Remove the top styrofoam cup from the stack of two cups and place it on the table to the right, pick up the cup on the left and stack it on the right styrofoam cup",Put the cup that was on top at the bottom and the cup that was at the bottom on top,Remove the top styrofoam cup from the stack of two styrofoam cup and place it on the right and then pick up the cup on the left and stack it into the styrofoam cup on the right,true,34284
62719,416 W Dana St,52ca9b6a,Press a button on the black speaker in front of the television.,Press a button on the speaker,Press the button on the black object,true,34285
62720,2479 Richard Ct,52ca9b6a,"","","",true,0
62726,TRI,52ca9b6a,Turn the stand,Move the stand,Turn the stand to the right,true,34290
62727,416 W Dana St,52ca9b6a,Put the towel on the right side of the bed.,Move the towel to the right side of the bed.,Fold the towel,true,34291
62728,TRI,52ca9b6a,Use the silver spoon to place some coffee beans from the glass container onto the counter.,Scoop up the coffee beans and put them on the table,Use the silver spoon to place some coffee beans from the container on the counter.,true,34289
62731,394 Franklin,52ca9b6a,Push a button on the black remote,Press a button on the black remote control,Press a button on the remote,true,7248
62732,403 Fairmont,52ca9b6a,Pick up the laying spice bottle on the counter and put it right side up on the counter,Put the jar on the right side of the counter upright.,Put the spice bottle on its bottom,true,34293
62733,403 Fairmont,52ca9b6a,press a button on the keyboard,Press the button on the keyboard,press a button on the keyboard,true,6153
62734,780 Shary Ave,52ca9b6a,Place the black ladle under the running faucet then put it back on the counter.,Put the black ladle under the running water then place it back on the counter.,Put the black spoon under the running water and then put it back on the counter top,true,34292
62735,403 Fairmont,52ca9b6a,"","","",false,0
62737,416 W Dana St,52ca9b6a,Close the tap,close the tap,Close the tap by pushing the right faucet handle to the right,true,1295
62739,394 Franklin,52ca9b6a,Unfold the corner of the gray and yellow duvet to the left,Unfold the duvet on the bed,Pull the bottom right side of the duvet to the left,true,34295
62742,394 Franklin,52ca9b6a,Pick up the lint roller and put it on the top white rack,Put the lint roller on the wire rack,Put the hair brush on the white stand upper shelf,true,27431
62743,640 Palo Alto Ave,52ca9b6a,"","","",false,0
62743,soft objects,52ca9b6a,"","","",false,0
62744,403 Fairmont,52ca9b6a,Move the pink bowl closer to the brush,Move the bowl to the left,Move the bowl to the left.,true,34297
62745,780 Shary Ave,52ca9b6a,Move the silver pot a little forward on the table,Move the pot forward,Place the pot in front of the spoons,true,34297
62748,416 W Dana St,52ca9b6a,Move the letter pieces on the table,Align four tiles at the top to create a word.,Remove the last letter from the word and replace it with another one,true,10257
62749,394 Franklin,52ca9b6a,Slide the throw pillow to the left side of the bed,Pull the pillow to the left,Move the pillow to the left,true,34300
62753,394 Franklin,52ca9b6a,Put the remote on the head rest of the couch,Put the black remote control on the backrest of the couch,Put the remote on the back of the sofa,true,34302
62754,TRI,52ca9b6a,Unstack the cups,Unstack the coffee cups.,Separate the cups,true,6331
62754,TRI,52ca9b6a,Pick up the wooden box and pour the cereal in the box into the blue bowl.,Pour the contents in the box into the bowl,Pour the cereal in the wooden box into the blue bowl.,true,34303
62758,394 Franklin,52ca9b6a,Pick up the red dice from the green bowl and roll it to the left side of the top of the chest of drawers,"Move the red dice from the green bowl,",Move the red small building block to the left,true,34304
62758,2479 Richard Ct,52ca9b6a,Pick up the blue kettle and place it in the middle of the job of the stove,Move the blue kettle to the left,Move the kettle to the left,true,34305
62759,TRI,52ca9b6a,"Remove the top styrofoam cup from the stack of two cups and place it on the table to the right, pick up the cup on the left and stack it on the right styrofoam cup",Put the cup that was on top at the bottom and the cup that was at the bottom on top,Remove the top styrofoam cup from the stack of two styrofoam cup and place it on the right and then pick up the cup on the left and stack it into the styrofoam cup on the right,true,34306
62760,416 W Dana St,52ca9b6a,Press a button on the black speaker in front of the television.,Press a button on the speaker,Press the button on the black object,true,34307
62761,2479 Richard Ct,52ca9b6a,"","","",true,0
62769,soft objects,52ca9b6a,"","","",true,0
62769,TRI,52ca9b6a,Use the silver spoon to place some coffee beans from the glass container onto the counter.,Scoop up the coffee beans and put them on the table,Use the silver spoon to place some coffee beans from the container on the counter.,true,34311
62771,2300 Jane Ln,52ca9b6a,Pick up the glasses pouch and put it in the red basket,Put the black bag inside the box,Lift the black purse and put it in the red box,true,34308
62772,394 Franklin,52ca9b6a,Push a button on the black remote,Press a button on the black remote control,Press a button on the remote,true,7248
62775,780 Shary Ave,52ca9b6a,Place the black ladle under the running faucet then put it back on the counter.,Put the black ladle under the running water then place it back on the counter.,Put the black spoon under the running water and then put it back on the counter top,true,34314
62776,403 Fairmont,52ca9b6a,"","","",false,0
62780,394 Franklin,52ca9b6a,Unfold the corner of the gray and yellow duvet to the left,Unfold the duvet on the bed,Pull the bottom right side of the duvet to the left,true,34317
62784,640 Palo Alto Ave,52ca9b6a,"","","",false,0
62785,2479 Richard Ct,52ca9b6a,Press a button on the dishwasher,Press a button on the dishwasher,Turn off the dishwasher,true,3762
62786,780 Shary Ave,52ca9b6a,Move the silver pot a little forward on the table,Move the pot forward,Place the pot in front of the spoons,true,34319
62789,780 Shary Ave,52ca9b6a,Switch off the light switch,Flip the left light switch downwards,Turn off the left switch,true,15906
62789,416 W Dana St,52ca9b6a,Move the letter pieces on the table,Align four tiles at the top to create a word.,Remove the last letter from the word and replace it with another one,true,10257
62790,394 Franklin,52ca9b6a,Slide the throw pillow to the left side of the bed,Pull the pillow to the left,Move the pillow to the left,true,34322
62794,394 Franklin,52ca9b6a,Put the remote on the head rest of the couch,Put the black remote control on the backrest of the couch,Put the remote on the back of the sofa,true,34324
62795,TRI,52ca9b6a,Unstack the cups,Unstack the coffee cups.,Separate the cups,true,6331
62798,640 Palo Alto Ave,52ca9b6a,Pick up the sneaker from the countertop and put it on the book on the topmost shelf.,Pick up the shoe from the table and put it on the stand,Put the sneaker on the top of the shelf,true,34322
62799,394 Franklin,52ca9b6a,Pick up the red dice from the green bowl and roll it to the left side of the top of the chest of drawers,"Move the red dice from the green bowl,",Move the red small building block to the left,true,34326
62800,394 Franklin,52ca9b6a,Put the yellow block on the front right plate of the stove,Put the yellow block on the top right side of the stove,Put the yellow block on the back right plate of the stove,true,34324
62806,TRI,52ca9b6a,Put the lids on the upright cup,Pick up the stacked white paper cup lids on the white plate and put them on the stacked paper cups to the right,Put the white lid on top of the two stacked coffee cups,true,34327
62810,soft objects,52ca9b6a,"","","",true,0
62811,TRI,52ca9b6a,Use the white napkin to wipe the cereal on the counter to the left.,Use the paper towel to wipe the surface,Use the,true,34329
62812,2300 Jane Ln,52ca9b6a,Pick up the glasses pouch and put it in the red basket,Put the black bag inside the box,Lift the black purse and put it in the red box,true,34330
62818,416 W Dana St,52ca9b6a,Open the compartment on the chest drawer,Close the cabinet door,Close the door on the desk,true,34331
62823,TRI,52ca9b6a,Open the bin,Open the bin,Fully open the bin,true,2256
62825,TRI,52ca9b6a,"Remove the lid of the shape sorter, put it on top of the shape sorter and put the green block on the lunchbox","Slide off the front of the toy box, then put the green block in the transparent bowl",Slide the lid on the wooden toy box upwards.,true,34334
62826,2479 Richard Ct,52ca9b6a,Press a button on the dishwasher,Press a button on the dishwasher,Turn off the dishwasher,true,3762
62829,TRI,52ca9b6a,Pour the contents of the bowl into the other bowl,Pour the items in the bowl on the left into the bowl on the right,Pour the left plate's contents onto the right one,true,34337
62830,780 Shary Ave,52ca9b6a,Switch off the light switch,Flip the left light switch downwards,Turn off the left switch,true,15906
62832,2300 Jane Ln,52ca9b6a,Put the contents of the silver cup into the sink,Pour the water out of the metal cap,Pour the water out of the silver cup,true,34338
62839,640 Palo Alto Ave,52ca9b6a,Pick up the sneaker from the countertop and put it on the book on the topmost shelf.,Pick up the shoe from the table and put it on the stand,Put the sneaker on the top of the shelf,true,34344
62841,394 Franklin,52ca9b6a,Put the yellow block on the front right plate of the stove,Put the yellow block on the top right side of the stove,Put the yellow block on the back right plate of the stove,true,34346
62847,TRI,52ca9b6a,Put the lids on the upright cup,Pick up the stacked white paper cup lids on the white plate and put them on the stacked paper cups to the right,Put the white lid on top of the two stacked coffee cups,true,34349
62848,416 W Dana St,52ca9b6a,Move the tongs from the hook on the right to the center hook,Move the tongs to the next hanger on the left,Move the tongs to the left.,true,34345
62850,403 Fairmont,52ca9b6a,"Put the silver bowl on the red lid, then move the jar to the left",Put the silver bowl on the lunchbox with an orange lid,"Put the silver bowl on top of the lunchbox, then move the jug closer to the blender",true,34346
62851,640 Palo Alto Ave,52ca9b6a,Fold the towel in half,Fold the cloth,Fold the blue cloth,true,2482
62852,TRI,52ca9b6a,Use the white napkin to wipe the cereal on the counter to the left.,Use the paper towel to wipe the surface,Use the,true,34351
62858,640 Palo Alto Ave,52ca9b6a,Move the baking pan backwards,Move the black bowl backwards,Move the black bowl,true,34347
62859,416 W Dana St,52ca9b6a,Open the compartment on the chest drawer,Close the cabinet door,Close the door on the desk,true,34353
62860,394 Franklin,52ca9b6a,Pick up the silver pot and move it forward on the table,Move the pot forward,Move the silver pot forwards.,true,34349
62864,TRI,52ca9b6a,Open the bin,Open the bin,Fully open the bin,true,2256
62865,403 Fairmont,52ca9b6a,Put the orange object on the towel then fold the towel into a triangle.,Fold the white cloth,Put the orange object on the towel then fold the towel into a triangle.,true,34352
62866,394 Franklin,52ca9b6a,Put the white remote control in the green bowl,Put the white remote inside the bowl,Pick up the white remote and put it in the green bowl,true,34353
62866,TRI,52ca9b6a,"Remove the lid of the shape sorter, put it on top of the shape sorter and put the green block on the lunchbox","Slide off the front of the toy box, then put the green block in the transparent bowl",Slide the lid on the wooden toy box upwards.,true,34356
62870,TRI,52ca9b6a,Pour the contents of the bowl into the other bowl,Pour the items in the bowl on the left into the bowl on the right,Pour the left plate's contents onto the right one,true,34359
62873,2300 Jane Ln,52ca9b6a,Put the contents of the silver cup into the sink,Pour the water out of the metal cap,Pour the water out of the silver cup,true,34360
62877,640 Palo Alto Ave,52ca9b6a,"","","",false,0
62878,2300 Jane Ln,52ca9b6a,Move the white ladle to the clear bowl on the right,Move the white spoon from the left container to the right one,Pick up the white serving spoon from the clear lunch box on the left and put it in the clear lunch box on the right,true,34359
62880,2479 Richard Ct,52ca9b6a,Remove the purple marker from the top of the toaster oven and put it on the left side of the counter,Move the marker from the top of the microwave to the counter,Remove the marker from on top of the microwave,true,34361
62881,TRI,52ca9b6a,cover the cup using the other cup,Put the right cup on the left cup,cover the cup using the other cup,true,34362
62883,403 Fairmont,52ca9b6a,Use the pink and white spoon to some of the contents of the blue box into the blue cup on the right,Use the pink spoon to put some of the contents of the blue box into the blue cup on the right,Transfer a spoonful of contents from the blue box to the scoop,true,34364
62889,416 W Dana St,52ca9b6a,Move the tongs from the hook on the right to the center hook,Move the tongs to the next hanger on the left,Move the tongs to the left.,true,34367
62891,403 Fairmont,52ca9b6a,"Put the silver bowl on the red lid, then move the jar to the left",Put the silver bowl on the lunchbox with an orange lid,"Put the silver bowl on top of the lunchbox, then move the jug closer to the blender",true,34368
62891,403 Fairmont,52ca9b6a,Put the glass lid on the pan.,Put the lid on to the pan,Put the lid on the pan,true,3248
62892,640 Palo Alto Ave,52ca9b6a,Fold the towel in half,Fold the cloth,Fold the blue cloth,true,2482
62893,640 Palo Alto Ave,52ca9b6a,Put the cable on top of the keyboard,Put the black cable on the keyboard.,Put the cable on the keyboard,true,34367
62895,394 Franklin,52ca9b6a,Move the blue cup from the sink to the plate rack,Put the blue cup on the dish rack,Remove the blue cup from the sink and put it on the dishrack,true,34369
62899,640 Palo Alto Ave,52ca9b6a,Move the baking pan backwards,Move the black bowl backwards,Move the black bowl,true,34369
62899,416 W Dana St,52ca9b6a,Hang the hanger on the tap,Place the hanger on the faucet.,Put the hanger on the tap,true,34371
62900,403 Fairmont,52ca9b6a,Put the remote in the tissue box,Put the remote in the box,Put the remote in the tissue box,true,34372
62901,394 Franklin,52ca9b6a,Pick up the silver pot and move it forward on the table,Move the pot forward,Move the silver pot forwards.,true,34371
62901,403 Fairmont,52ca9b6a,Put the bottle bottom first on the rack,Put the bottle upright,Reposition the bottle on the first shelf,true,34373
62902,780 Shary,52ca9b6a,Hang the brown bag on the hook,Move the bag from the bottom left handle and hook it on the right hook of the third top hook from the left,Pick up a bag and put it onto the wall hook on the top,true,34374
62905,640 Palo Alto Ave,52ca9b6a,Remove the pencil from the brown cup and put it on the top of the shoe rack,Remove the wooden stirrer from the mug and place it on the top shelf of the shoe rack.,Put the pencil on the top rack,true,34376
62906,403 Fairmont,52ca9b6a,Put the orange object on the towel then fold the towel into a triangle.,Fold the white cloth,Put the orange object on the towel then fold the towel into a triangle.,true,34374
62907,394 Franklin,52ca9b6a,Put the white remote control in the green bowl,Put the white remote inside the bowl,Pick up the white remote and put it in the green bowl,true,34375
62916,640 Palo Alto Ave,52ca9b6a,"","","",false,0
62918,640 Palo Alto Ave,52ca9b6a,"","","",false,0
62918,TRI,52ca9b6a,Use the napkin to push the dirt into the bin,Use the napkin to push the snacks on the counter into the trash chute on the left.,Use the napkin to wipe the dirt into the bin,true,34380
62919,2300 Jane Ln,52ca9b6a,Move the white ladle to the clear bowl on the right,Move the white spoon from the left container to the right one,Pick up the white serving spoon from the clear lunch box on the left and put it in the clear lunch box on the right,true,34381
62921,2479 Richard Ct,52ca9b6a,Remove the purple marker from the top of the toaster oven and put it on the left side of the counter,Move the marker from the top of the microwave to the counter,Remove the marker from on top of the microwave,true,34383
62922,TRI,52ca9b6a,cover the cup using the other cup,Put the right cup on the left cup,cover the cup using the other cup,true,34384
62922,2300 Jane Ln,52ca9b6a,"Pick up the two white packets with the green lids from the silver cup one by one and put them the right way up on the table, pick up the white bottle with a blue lid from the clear storage container and put it in the silver cup",Put the squishy drinks upright on the table then put the white bottle in the silver cup,"Remove the packets from the silver cup, then put the white bottle in the silver cup",true,34382
62924,403 Fairmont,52ca9b6a,Use the pink and white spoon to some of the contents of the blue box into the blue cup on the right,Use the pink spoon to put some of the contents of the blue box into the blue cup on the right,Transfer a spoonful of contents from the blue box to the scoop,true,34386
62925,TRI,52ca9b6a,Place the stacked coffee cups on the left upright then put the black tongs on top of the wooden stand.,Place the coffee cups upright then take the tongs out of the cup and place them on the wooden stand.,move the  cap and put the up right,true,34383
62928,TRI,52ca9b6a,Pick up the small horizontally laying white cup and put it on the white plate,Put the pod on the plate,Pick up the coffee capsule on the counter and put it on the white plate,true,34384
62929,640 Palo Alto Ave,52ca9b6a,"","","",false,0
62932,403 Fairmont,52ca9b6a,Put the glass lid on the pan.,Put the lid on to the pan,Put the lid on the pan,true,3248
62933,403 Fairmont,52ca9b6a,"Remove the checked pillow from on top of the white pillow, pick up the black remote, put it on the bed and then put the checked pillow back on top of the white pillow","Move the pillow on top to the right, then remove the remote from the white pillow, then put the checked pillow on the white pillow","Remove the checked pillow from on top of the white pillow, pick up the black remote, put it on the bed and then put the checked pillow back on top of the white pillow",true,34387
62934,640 Palo Alto Ave,52ca9b6a,Put the cable on top of the keyboard,Put the black cable on the keyboard.,Put the cable on the keyboard,true,34389
62935,soft objects,52ca9b6a,"","","",false,0
62936,394 Franklin,52ca9b6a,Move the blue cup from the sink to the plate rack,Put the blue cup on the dish rack,Remove the blue cup from the sink and put it on the dishrack,true,34391
62936,416 W Dana St,52ca9b6a,open the bin and remove a bottle from the bin,Open the bin then remove the water bottle from the bin.,Open the lid on the bin and take the water bottle out,true,34388
62940,416 W Dana St,52ca9b6a,Hang the hanger on the tap,Place the hanger on the faucet.,Put the hanger on the tap,true,34393
62941,403 Fairmont,52ca9b6a,Put the remote in the tissue box,Put the remote in the box,Put the remote in the tissue box,true,34394
62942,403 Fairmont,52ca9b6a,Put the bottle bottom first on the rack,Put the bottle upright,Reposition the bottle on the first shelf,true,34395
62943,780 Shary,52ca9b6a,Hang the brown bag on the hook,Move the bag from the bottom left handle and hook it on the right hook of the third top hook from the left,Pick up a bag and put it onto the wall hook on the top,true,34396
62943,394 Franklin,52ca9b6a,"","","",true,0
62945,394 Franklin,52ca9b6a,Pick up the remote on top of the blue and white pillow and put it on top of the sofa back support top,Put the remote on the backrest of the chair,Put the remote control onto the backrest of the couch,true,34391
62946,640 Palo Alto Ave,52ca9b6a,Remove the pencil from the brown cup and put it on the top of the shoe rack,Remove the wooden stirrer from the mug and place it on the top shelf of the shoe rack.,Put the pencil on the top rack,true,34398
62948,TRI,52ca9b6a,Move the coffee cup to the right and put it inside the black box.,Move the coffee cup to the right and put it inside the black box.,Move the cup to the right,true,34393
62956,394 Franklin,52ca9b6a,Push down the lever of the toaster,Push down the toaster lever,Push the black knob on the toaster downwards,true,9538
62957,640 Palo Alto Ave,52ca9b6a,"","","",false,0
62959,TRI,52ca9b6a,Use the napkin to push the dirt into the bin,Use the napkin to push the snacks on the counter into the trash chute on the left.,Use the napkin to wipe the dirt into the bin,true,34402
62963,2300 Jane Ln,52ca9b6a,"Pick up the two white packets with the green lids from the silver cup one by one and put them the right way up on the table, pick up the white bottle with a blue lid from the clear storage container and put it in the silver cup",Put the squishy drinks upright on the table then put the white bottle in the silver cup,"Remove the packets from the silver cup, then put the white bottle in the silver cup",true,34404
62966,TRI,52ca9b6a,Place the stacked coffee cups on the left upright then put the black tongs on top of the wooden stand.,Place the coffee cups upright then take the tongs out of the cup and place them on the wooden stand.,move the  cap and put the up right,true,34405
62966,640 Palo Alto Ave,52ca9b6a,"","","",false,0
62969,TRI,52ca9b6a,Pick up the small horizontally laying white cup and put it on the white plate,Put the pod on the plate,Pick up the coffee capsule on the counter and put it on the white plate,true,34406
62969,2300 Jane Ln,52ca9b6a,Turn the faucet on then rinse the container under it then close the the faucet,"Open the tap, pick up the lunchbox on the counter, put it under the running water, pour the water into the sink, put the lunchbox on the counter and then close the tap","Open the faucet then put the clear bowl under the running faucet and spill the water into the sink, place the bowl back on the counter and close the faucet",true,34400
62970,640 Palo Alto Ave,52ca9b6a,"","","",false,0
62972,TRI,52ca9b6a,Rearrange the some of the blocks,Stack the items on the table,Unstack the three blocks on the left then stack two blocks on the right.,true,34403
62974,403 Fairmont,52ca9b6a,"Remove the checked pillow from on top of the white pillow, pick up the black remote, put it on the bed and then put the checked pillow back on top of the white pillow","Move the pillow on top to the right, then remove the remote from the white pillow, then put the checked pillow on the white pillow","Remove the checked pillow from on top of the white pillow, pick up the black remote, put it on the bed and then put the checked pillow back on top of the white pillow",true,34409
62975,TRI,52ca9b6a,Remove the black object from the coffee cup on the left.,Take the black object out of the coffee cup.,move the object from the cap,true,34405
62976,soft objects,52ca9b6a,"","","",false,0
62976,TRI,52ca9b6a,Pick up one white sachet from the jar and put it on the counter,Remove the one white sachet from the transparent jug,Remove a sachet from the sachets jar and put it on the counter top,true,34406
62977,416 W Dana St,52ca9b6a,open the bin and remove a bottle from the bin,Open the bin then remove the water bottle from the bin.,Open the lid on the bin and take the water bottle out,true,34410
62980,TRI,52ca9b6a,"","","",false,0
62981,soft objects,52ca9b6a,"","","",true,0
62983,2300 Jane Ln,52ca9b6a,Remove the lid from the clear cup and put it on the television stand top,Remove the lid of the clear cup that is on the television stand top on the right,Pick up the clear container lid and put it on the tv stand,true,34408
62984,394 Franklin,52ca9b6a,"","","",true,0
62984,2479 Richard Ct,52ca9b6a,"Open the tap, pick up the green sponge and wet it with the running water, squeeze the green sponge four times and drop it into the sink","Turn the faucet on, soak the green sponge under it, and throw the green sponge into the sink","Open the tap, pick up the green sponge and wet it with the running water, squeeze the green sponge four times and drop it into the sink",true,34409
62986,394 Franklin,52ca9b6a,Pick up the remote on top of the blue and white pillow and put it on top of the sofa back support top,Put the remote on the backrest of the chair,Put the remote control onto the backrest of the couch,true,34413
62987,394 Franklin,52ca9b6a,Put the cup upright,Move the cup from the stove to the countertop,Pick up the blue cup from the right of the stove and put it on the kitchen counter to the left of the stove,true,1924
62989,TRI,52ca9b6a,Move the coffee cup to the right and put it inside the black box.,Move the coffee cup to the right and put it inside the black box.,Move the cup to the right,true,34415
